區域別,土地總面積(公頃),已登記公私有土地面積(公頃),已登記公有土地面積(公頃),已登記私有土地面積(公頃),已登記公私共有土地面積(公頃),未登記土地總面積(公頃),土地總筆數(筆),已登記公私有土地筆數(筆),已登記公有土地筆數(筆),已登記私有土地筆數(筆),已登記公私共有土地筆數(筆),未登記土地筆數(筆)
中山區,1368.21,1334.940407,801.780666,465.819075,67.340666,33.269593,27108,27074,7277,18859,938,34
內湖區,3157.87,3157.29933,918.677913,2053.275378,185.346039,0.57067,28486,28217,9134,17586,1497,269
